;line;module;job_id;state;time
0;C;4;41;fetching_job;2022-02-18T02:23:14.067000
84;B;1;22;storing_job;2022-02-18T01:21:16.659600
2;D;4;68;fetching_job;2022-02-18T03:08:06.316999
97;B;5;22;waiting_on_precedent;2022-02-18T01:00:00
226;B;4;22;waiting_on_precedent;2022-02-18T01:00:00
5;C;1;59;processing;2022-02-18T09:20:58.321800
6;C;1;59;storing_job;2022-02-18T09:32:17.818800
7;C;2;64;storing_job;2022-02-18T11:28:44.660999
8;D;2;70;fetching_job;2022-02-18T02:53:32.593400
268;B;5;22;processing;2022-02-18T04:06:10.089600
10;C;3;51;processing;2022-02-18T07:18:14.776000
11;C;3;51;storing_job;2022-02-18T07:32:35.472200
179;A;3;1;fetching_job;2022-02-18T03:31:30.967200
13;C;4;63;waiting_on_precedent;2022-02-18T11:38:57.296400
14;C;4;64;fetching_job;2022-02-18T12:16:13.468000
275;B;4;22;storing_job;2022-02-18T03:52:54.089600
16;C;4;48;processing;2022-02-18T06:01:52.967600
426;B;5;22;storing_job;2022-02-18T04:40:36.226400
18;C;5;54;processing;2022-02-18T08:47:57.259600
344;A;2;1;waiting_on_precedent;2022-02-18T01:00:00
20;C;2;44;storing_job;2022-02-18T03:33:45.710000
21;C;2;60;processing;2022-02-18T10:10:04.777000
22;C;6;60;fetching_job;2022-02-18T11:26:09.792000
470;B;3;22;fetching_job;2022-02-18T02:29:51.559400
24;C;5;41;processing;2022-02-18T02:37:32.067000
534;A;3;1;waiting_on_precedent;2022-02-18T01:00:00
26;C;3;47;processing;2022-02-18T04:38:26.355599
473;B;3;22;waiting_on_precedent;2022-02-18T01:00:00
28;C;5;65;storing_job;2022-02-18T13:14:28.185200
844;A;2;1;processing;2022-02-18T02:31:39.245000
30;C;2;41;waiting_on_precedent;2022-02-18T01:43:51.740800
31;C;3;64;storing_job;2022-02-18T12:11:27.468000
32;D;2;67;fetching_job;2022-02-18T01:42:39.539600
949;A;1;1;processing;2022-02-18T01:10:12
34;C;2;54;storing_job;2022-02-18T07:54:26.366200
35;C;7;57;waiting_on_precedent;2022-02-18T10:37:15.361800
36;C;1;63;processing;2022-02-18T10:37:48.532600
37;C;3;60;processing;2022-02-18T10:33:45.552200
38;C;1;47;fetching_job;2022-02-18T03:59:11.285999
990;A;2;1;storing_job;2022-02-18T03:21:18.967199
1044;A;1;1;storing_job;2022-02-18T02:11:15.245000
41;C;1;46;fetching_job;2022-02-18T03:32:26.927399
613;B;6;22;processing;2022-02-18T04:53:52.226400
43;C;7;42;fetching_job;2022-02-18T03:24:05.829400
44;C;5;59;processing;2022-02-18T10:43:17.552200
1112;A;2;1;fetching_job;2022-02-18T02:21:27.245000
46;C;6;42;storing_job;2022-02-18T03:19:19.829400
47;C;2;59;waiting_on_precedent;2022-02-18T09:25:44.321800
48;D;2;71;fetching_job;2022-02-18T03:14:11.831800
49;C;7;54;processing;2022-02-18T09:24:39.844400
738;B;5;22;fetching_job;2022-02-18T03:59:32.089600
1248;A;1;1;fetching_job;2022-02-18T01:00:00
52;C;6;57;processing;2022-02-18T10:20:05.387400
53;C;2;57;processing;2022-02-18T08:57:41.388600
54;C;6;50;storing_job;2022-02-18T07:46:12.836799
55;D;3;69;storing_job;2022-02-18T03:31:32.722199
746;B;6;22;waiting_on_precedent;2022-02-18T01:00:00
57;C;5;55;fetching_job;2022-02-18T08:52:43.259600
58;C;6;63;waiting_on_precedent;2022-02-18T12:21:27.974400
59;D;3;67;processing;2022-02-18T02:16:25.291200
60;C;4;42;processing;2022-02-18T03:00:15.829400
1349;A;3;1;processing;2022-02-18T03:41:42.967200
62;C;6;49;waiting_on_precedent;2022-02-18T06:49:35.663800
63;C;1;46;storing_job;2022-02-18T03:54:25.285999
762;B;3;22;fetching_job;2022-02-18T02:29:51.559400
779;B;6;22;fetching_job;2022-02-18T04:47:14.226400
66;C;2;43;processing;2022-02-18T03:07:20.425000
785;B;2;22;processing;2022-02-18T01:34:32.659600
68;C;6;48;storing_job;2022-02-18T06:44:49.663800
69;C;4;45;fetching_job;2022-02-18T04:17:03.967999
70;C;4;49;fetching_job;2022-02-18T06:06:38.967600
140;A;2;2;fetching_job;2022-02-18T03:31:30.967200
72;C;2;42;fetching_job;2022-02-18T02:36:25.829400
73;C;1;42;storing_job;2022-02-18T02:31:39.829400
74;C;4;47;processing;2022-02-18T05:52:20.967600
797;B;2;22;fetching_job;2022-02-18T01:27:54.659600
76;C;6;49;processing;2022-02-18T07:04:41.555800
868;B;2;22;waiting_on_precedent;2022-02-18T01:00:00
78;C;1;51;storing_job;2022-02-18T06:41:27.422800
873;B;2;22;storing_job;2022-02-18T02:23:13.559400
287;A;2;2;processing;2022-02-18T03:41:42.967200
81;C;1;52;fetching_job;2022-02-18T06:46:13.422800
320;A;1;2;storing_job;2022-02-18T02:57:10.465600
879;B;4;22;fetching_job;2022-02-18T03:16:49.579400
908;B;1;22;fetching_job;2022-02-18T01:00:00
85;C;3;59;storing_job;2022-02-18T10:24:13.552200
943;B;2;22;waiting_on_precedent;2022-02-18T01:00:00
1057;B;4;22;processing;2022-02-18T03:23:27.579400
1091;B;5;22;fetching_job;2022-02-18T03:59:32.089600
1113;B;1;22;processing;2022-02-18T01:06:38
90;C;6;55;fetching_job;2022-02-18T09:19:53.844400
1227;B;3;22;storing_job;2022-02-18T03:10:11.579400
1312;B;1;22;fetching_job;2022-02-18T01:00:00
93;C;6;63;storing_job;2022-02-18T12:45:13.622000
94;C;6;41;fetching_job;2022-02-18T02:42:18.067000
