,line,module,job_id,state,time
0,C,4,41,fetching_job,2022-02-18T02:23:14.067000
1,B,3,39,processing,2022-02-18T16:47:40.912160
2,D,4,68,fetching_job,2022-02-18T03:08:06.316999
3,B,6,32,processing,2022-02-18T13:25:22.458800
4,B,6,34,processing,2022-02-18T15:10:50.610800
5,C,1,59,processing,2022-02-18T09:20:58.321800
6,C,1,59,storing_job,2022-02-18T09:32:17.818800
7,C,2,64,storing_job,2022-02-18T11:28:44.660999
8,D,2,70,fetching_job,2022-02-18T02:53:32.593400
9,B,1,29,processing,2022-02-18T05:06:46.168000
10,C,3,51,processing,2022-02-18T07:18:14.776000
11,C,3,51,storing_job,2022-02-18T07:32:35.472200
12,A,3,4,fetching_job,2022-02-18T06:22:36.711200
13,C,4,63,waiting_on_precedent,2022-02-18T11:38:57.296400
14,C,4,64,fetching_job,2022-02-18T12:16:13.468000
15,B,6,25,processing,2022-02-18T08:02:33.878400
16,C,4,48,processing,2022-02-18T06:01:52.967600
17,B,2,31,storing_job,2022-02-18T09:42:00.794400
18,C,5,54,processing,2022-02-18T08:47:57.259600
19,A,1,15,processing,2022-02-18T13:37:16.760200
20,C,2,44,storing_job,2022-02-18T03:33:45.710000
21,C,2,60,processing,2022-02-18T10:10:04.777000
22,C,6,60,fetching_job,2022-02-18T11:26:09.792000
23,B,6,27,processing,2022-02-18T09:36:40.947600
24,C,5,41,processing,2022-02-18T02:37:32.067000
25,A,2,17,storing_job,2022-02-18T19:31:08.843600
26,C,3,47,processing,2022-02-18T04:38:26.355599
27,B,3,35,fetching_job,2022-02-18T12:52:20.879199
28,C,5,65,storing_job,2022-02-18T13:14:28.185200
29,A,3,12,fetching_job,2022-02-18T14:18:01.686800
30,C,2,41,waiting_on_precedent,2022-02-18T01:43:51.740800
31,C,3,64,storing_job,2022-02-18T12:11:27.468000
32,D,2,67,fetching_job,2022-02-18T01:42:39.539600
33,A,3,21,fetching_job,2022-02-18T23:42:13.645400
34,C,2,54,storing_job,2022-02-18T07:54:26.366200
35,C,7,57,waiting_on_precedent,2022-02-18T10:37:15.361800
36,C,1,63,processing,2022-02-18T10:37:48.532600
37,C,3,60,processing,2022-02-18T10:33:45.552200
38,C,1,47,fetching_job,2022-02-18T03:59:11.285999
39,A,2,16,fetching_job,2022-02-18T17:25:27.070800
40,A,2,21,fetching_job,2022-02-18T22:46:48.582800
41,C,1,46,fetching_job,2022-02-18T03:32:26.927399
42,B,4,36,storing_job,2022-02-18T15:33:45.584400
43,C,7,42,fetching_job,2022-02-18T03:24:05.829400
44,C,5,59,processing,2022-02-18T10:43:17.552200
45,A,3,21,processing,2022-02-18T23:52:25.645400
46,C,6,42,storing_job,2022-02-18T03:19:19.829400
47,C,2,59,waiting_on_precedent,2022-02-18T09:25:44.321800
48,D,2,71,fetching_job,2022-02-18T03:14:11.831800
49,C,7,54,processing,2022-02-18T09:24:39.844400
50,B,1,28,storing_job,2022-02-18T04:53:30.168000
51,A,2,12,storing_job,2022-02-18T14:07:49.686800
52,C,6,57,processing,2022-02-18T10:20:05.387400
53,C,2,57,processing,2022-02-18T08:57:41.388600
54,C,6,50,storing_job,2022-02-18T07:46:12.836799
55,D,3,69,storing_job,2022-02-18T03:31:32.722199
56,B,6,38,processing,2022-02-18T19:09:17.191360
57,C,5,55,fetching_job,2022-02-18T08:52:43.259600
58,C,6,63,waiting_on_precedent,2022-02-18T12:21:27.974400
59,D,3,67,processing,2022-02-18T02:16:25.291200
60,C,4,42,processing,2022-02-18T03:00:15.829400
61,A,2,11,storing_job,2022-02-18T12:56:28.760200
62,C,6,49,waiting_on_precedent,2022-02-18T06:49:35.663800
63,C,1,46,storing_job,2022-02-18T03:54:25.285999
64,B,1,38,storing_job,2022-02-18T13:20:33.339639
65,B,5,35,fetching_job,2022-02-18T15:04:12.610800
66,C,2,43,processing,2022-02-18T03:07:20.425000
67,B,6,35,processing,2022-02-18T15:53:49.664800
68,C,6,48,storing_job,2022-02-18T06:44:49.663800
69,C,4,45,fetching_job,2022-02-18T04:17:03.967999
70,C,4,49,fetching_job,2022-02-18T06:06:38.967600
71,A,3,9,processing,2022-02-18T11:35:01.227600
72,C,2,42,fetching_job,2022-02-18T02:36:25.829400
73,C,1,42,storing_job,2022-02-18T02:31:39.829400
74,C,4,47,processing,2022-02-18T05:52:20.967600
75,B,3,36,fetching_job,2022-02-18T13:32:10.598600
76,C,6,49,processing,2022-02-18T07:04:41.555800
77,B,1,27,storing_job,2022-02-18T04:05:26.032200
78,C,1,51,storing_job,2022-02-18T06:41:27.422800
79,B,5,29,waiting_on_precedent,2022-02-18T10:18:25.524800
80,A,3,16,waiting_on_precedent,2022-02-18T18:07:54.695400
81,C,1,52,fetching_job,2022-02-18T06:46:13.422800
82,A,1,17,fetching_job,2022-02-18T15:43:12.188800
83,B,4,32,fetching_job,2022-02-18T12:01:25.672000
84,B,1,22,storing_job,2022-02-18T01:21:16.659600
85,C,3,59,storing_job,2022-02-18T10:24:13.552200
86,B,4,39,storing_job,2022-02-18T19:06:07.797360
87,B,4,25,storing_job,2022-02-18T07:05:25.516600
88,B,2,24,processing,2022-02-18T03:19:34.128000
89,B,5,39,processing,2022-02-18T19:19:23.797360
90,C,6,55,fetching_job,2022-02-18T09:19:53.844400
91,B,6,24,waiting_on_precedent,2022-02-18T06:14:04.693400
92,B,5,23,processing,2022-02-18T04:53:52.226400
93,C,6,63,storing_job,2022-02-18T12:45:13.622000
94,C,6,41,fetching_job,2022-02-18T02:42:18.067000
95,C,4,59,fetching_job,2022-02-18T10:28:59.552200
96,D,3,71,processing,2022-02-18T04:11:18.215199
97,B,5,22,waiting_on_precedent,2022-02-18T01:00:00
98,B,4,26,fetching_job,2022-02-18T07:12:03.516600
99,C,5,59,waiting_on_precedent,2022-02-18T10:27:28.744600
100,C,1,44,processing,2022-02-18T03:07:20.425000
101,C,3,43,processing,2022-02-18T03:16:52.424999
102,C,2,51,fetching_job,2022-02-18T06:46:13.422800
103,B,2,38,fetching_job,2022-02-18T14:19:17.809599
104,A,3,16,fetching_job,2022-02-18T18:37:22.923200
105,C,3,49,processing,2022-02-18T05:11:34.362399
106,D,3,72,storing_job,2022-02-18T06:16:06.441799
107,B,3,33,fetching_job,2022-02-18T11:36:12.833399
108,D,1,69,storing_job,2022-02-18T02:30:52.033600
109,C,3,58,fetching_job,2022-02-18T09:27:26.842400
110,C,6,44,storing_job,2022-02-18T05:52:20.967600
111,D,3,67,storing_job,2022-02-18T02:43:28.931399
112,D,2,72,fetching_job,2022-02-18T03:32:56.628600
113,C,6,50,fetching_job,2022-02-18T07:26:18.456599
114,D,4,68,waiting_on_precedent,2022-02-18T03:05:55.458799
115,C,5,45,fetching_job,2022-02-18T05:47:34.967600
116,A,1,21,processing,2022-02-18T20:11:56.843600
117,C,3,64,processing,2022-02-18T12:02:23.870400
118,C,1,54,fetching_job,2022-02-18T07:23:22.233800
119,C,1,57,storing_job,2022-02-18T08:48:09.388600
120,A,3,14,processing,2022-02-18T16:26:28.656400
121,A,2,16,storing_job,2022-02-18T18:27:10.923200
122,B,5,24,processing,2022-02-18T05:48:50.016600
123,B,5,27,fetching_job,2022-02-18T08:38:54.932400
124,A,1,3,fetching_job,2022-02-18T03:07:22.465600
125,C,3,48,storing_job,2022-02-18T05:02:02.362399
126,C,5,48,fetching_job,2022-02-18T06:16:10.967600
127,B,5,33,processing,2022-02-18T13:36:32.512400
128,C,5,46,fetching_job,2022-02-18T05:57:06.967600
129,C,7,53,processing,2022-02-18T08:57:29.259600
130,C,7,49,waiting_on_precedent,2022-02-18T07:20:02.273000
131,A,3,3,fetching_job,2022-02-18T05:35:51.738600
132,C,1,63,fetching_job,2022-02-18T10:33:02.532600
133,C,4,47,storing_job,2022-02-18T05:52:20.967600
134,C,4,56,fetching_job,2022-02-18T08:56:10.685000
135,C,3,55,waiting_on_precedent,2022-02-18T08:20:15.784200
136,B,4,29,fetching_job,2022-02-18T09:30:25.006000
137,C,4,48,fetching_job,2022-02-18T05:57:06.967600
138,C,4,63,processing,2022-02-18T12:02:23.870400
